"cik_code","form_type","doc_link","com_link","filing_date"
"1364924","497K","http://www.sec.gov/Archives/edgar/data/1364924/000072257413000146/afc.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1364924","2013-03-19"
"1364924","497K","http://www.sec.gov/Archives/edgar/data/1364924/000079542213000026/main.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1364924","2013-03-19"
"1267890","N-Q","http://www.sec.gov/Archives/edgar/data/1267890/000089180413000384/gug56173-nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1267890","2013-03-19"
"1217286","497K","http://www.sec.gov/Archives/edgar/data/1217286/000119312513114211/d498258d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1217286","2013-03-19"
"1217286","497K","http://www.sec.gov/Archives/edgar/data/1217286/000119312513114214/d498264d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1217286","2013-03-19"
"917469","485APOS","http://www.sec.gov/Archives/edgar/data/917469/000119312512485101/d442129d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=917469","2012-11-29"
"872649","485APOS","http://www.sec.gov/Archives/edgar/data/872649/000119312512485150/d442137d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=872649","2012-11-29"
"1137360","485APOS","http://www.sec.gov/Archives/edgar/data/1137360/000093041312006194/c71647_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1137360","2012-11-19"
"1511699","N-Q","http://www.sec.gov/Archives/edgar/data/1511699/000089418913001675/newpath_nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1511699","2013-03-19"
"1317474","485APOS","http://www.sec.gov/Archives/edgar/data/1317474/000089843211001127/a485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1317474","2011-10-14"
"44402","485APOS","http://www.sec.gov/Archives/edgar/data/44402/000089843211000554/a485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=44402","2011-04-15"
"723620","485APOS","http://www.sec.gov/Archives/edgar/data/723620/000089843210001680/a485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=723620","2010-12-23"
"770540","485APOS","http://www.sec.gov/Archives/edgar/data/770540/000119312512485249/d442125d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=770540","2012-11-29"
"1103243","485APOS","http://www.sec.gov/Archives/edgar/data/1103243/000141304210000348/pftpe19.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1103243","2010-11-19"
"1103243","485APOS","http://www.sec.gov/Archives/edgar/data/1103243/000141304211000065/pftpe22.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1103243","2011-03-15"
"1160990","N-Q","http://www.sec.gov/Archives/edgar/data/1160990/000110465913022171/a13-6809_1nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1160990","2013-03-19"
"1412350","N-Q","http://www.sec.gov/Archives/edgar/data/1412350/000110465913022226/a13-6809_2nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1412350","2013-03-19"
"898745","485APOS","http://www.sec.gov/Archives/edgar/data/898745/000089874510000522/pfi1031-afiling2011.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=898745","2010-12-30"
"1174610","485APOS","http://www.sec.gov/Archives/edgar/data/1174610/000119312513115197/d504029d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1174610","2013-03-19"
"722885","485APOS","http://www.sec.gov/Archives/edgar/data/722885/000072288513000027/riskparityafiling3192013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=722885","2013-03-19"
"924628","485APOS","http://www.sec.gov/Archives/edgar/data/924628/000091047210001081/coverpage.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=924628","2010-10-07"
"889284","485APOS","http://www.sec.gov/Archives/edgar/data/889284/000119312512485409/d439069d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=889284","2012-11-29"
"870156","485APOS","http://www.sec.gov/Archives/edgar/data/870156/000087015610000056/s485a.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=870156","2010-08-27"
"787623","485APOS","http://www.sec.gov/Archives/edgar/data/787623/000093041310006339/c63697_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=787623","2010-12-30"
"787623","485APOS","http://www.sec.gov/Archives/edgar/data/787623/000093041311001057/c63980_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=787623","2011-02-14"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022045/a13-7597_2497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022047/a13-7597_3497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022048/a13-7597_4497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022049/a13-7597_5497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022050/a13-7597_6497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022051/a13-7597_7497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022052/a13-7597_8497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022053/a13-7597_9497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"101507","497K","http://www.sec.gov/Archives/edgar/data/101507/000110465913022054/a13-7597_10497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=101507","2013-03-19"
"1557003","497K","http://www.sec.gov/Archives/edgar/data/1557003/000089418913001679/usfs-ft_497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1557003","2013-03-19"
"1557003","497K","http://www.sec.gov/Archives/edgar/data/1557003/000089418913001680/usfs-ft_497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1557003","2013-03-19"
"802716","485APOS","http://www.sec.gov/Archives/edgar/data/802716/000110465910064777/a10-21984_5485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=802716","2010-12-30"
"1350487","485APOS","http://www.sec.gov/Archives/edgar/data/1350487/000119312513115064/d503241d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1350487","2013-03-19"
"1350487","485APOS","http://www.sec.gov/Archives/edgar/data/1350487/000119312513115074/d504064d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1350487","2013-03-19"
"1027596","485APOS","http://www.sec.gov/Archives/edgar/data/1027596/000089418913001650/ast-shenkman_485a.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1027596","2013-03-18"
"1547625","485APOS","http://www.sec.gov/Archives/edgar/data/1547625/000092242313000094/kl03048.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1547625","2013-03-18"
"1547625","485APOS","http://www.sec.gov/Archives/edgar/data/1547625/000092242313000095/kl03049.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1547625","2013-03-18"
"1503290","N-Q","http://www.sec.gov/Archives/edgar/data/1503290/000110465913021472/a13-6376_1nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1503290","2013-03-18"
"1544657","N-Q","http://www.sec.gov/Archives/edgar/data/1544657/000110465913021473/a13-6376_2nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1544657","2013-03-18"
"745463","497K","http://www.sec.gov/Archives/edgar/data/745463/000094039413000504/iifsp.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=745463","2013-03-18"
